,TENet,ENet
PC118,1.724833125976931,0.0
PC119,-1.5631545474150932,0.0
PC120,0.0,0.0
PC121,1.3922479109264616,0.0
PC122,0.0,0.0
PC123,-1.2375314382012854,0.0
PC124,0.0,0.0
PC125,-1.3895234974899495,0.0
PC126,-1.280127243434574,0.0
PC127,0.0,0.0
PC128,1.5759059177452754,0.0
PC129,0.0,0.0
PC130,0.0,-0.3435004776529669
PC131,0.0,0.0
PC132,0.0,0.0
PC133,0.7435859847646997,0.0
PC134,-2.782632167367394,0.0
PC135,0.0,0.0
PC136,-0.4415996586876477,0.0
PC137,-1.5314686578776684,0.0
PC138,0.0,0.0
PC139,0.0,0.0
PC140,0.0,0.0
PC141,2.3472942292237624,0.0
PC142,0.0,0.0
PC143,0.0,0.0
PC144,-1.597236331326617,0.0
PC145,-0.8113574198422738,0.0
PC146,2.408839858006151,1.2372873774422508
PC147,0.0,0.0
PC148,0.0,0.0
PC149,-2.913586802918798,0.0
PC150,1.05724921410819,0.0
PC151,0.4678548992167158,0.0
PC152,1.1569985160961147,0.0
PC153,-1.5014454959948853,0.0
PC154,0.0,0.0
PC155,-0.6202013009106362,0.0
PC156,1.571049921455141,0.0
PC157,-1.801994894591678,0.0
PC158,-1.480273427997547,0.0
PC159,-1.8646586445739075,0.0
PC160,-0.4070045867603241,0.1277289745142958
PC161,-1.582498657341965,0.0
PC162,-0.5112769267293371,0.0
PC163,0.0,0.0
PC164,0.0,0.0
PC165,1.0712506740594676,0.0
PC166,0.0,0.0
PC167,0.0,0.0
PC168,0.0,0.0
PC169,0.0,0.0
PC170,-1.1771233093557203,2.2895387599471024
PC171,-1.3633318481620935,0.0
PC172,0.4421705366302491,0.0
PC173,-2.0047338542473416,-0.3518942914125919
PC174,2.142651984992479,0.0
PC175,0.0,0.0
PC176,0.0,0.0
PC177,0.3531275353153398,0.0
PC178,0.0,0.0
PC179,-0.1919869234156284,0.0
PC180,-1.628826376296722,0.0
PC181,1.424092454293131,0.0
PC182,1.0923979896551257,0.0
