,TENet,ENet
PC368,0.0,0.0011897840542572
PC369,0.0,-0.0130477432371546
PC370,0.0,0.0155914721050955
PC371,0.0180120123881898,-0.0017665812297647
PC372,0.0,-0.0028072484283878
PC373,0.0619946367403171,-0.0053762121864356
PC374,0.0,-0.0007502189828097
PC375,0.0,0.0099553962094742
PC376,0.0,0.0065104351172144
PC377,0.0,0.01272584629791
PC378,0.0,-0.0124853521026201
PC379,0.0,0.0013433832953682
PC380,0.0,0.0005892091781659
PC381,0.0,-0.0221360243254709
PC382,0.0,-0.0053403543702977
PC383,0.0,-0.0150966514863455
PC384,0.0,-0.0004572507678464
PC385,0.0,0.0056214226730169
PC386,0.0,0.0100848595422042
PC387,0.0,0.0136110784088084
PC388,0.0,0.0055580526748165
PC389,0.0,-0.0039649634672776
PC390,0.0,-0.0013785150269489
PC391,0.0,-0.0113551443515106
PC392,0.0,-0.0119932939892981
PC393,0.0,-0.0107898017516686
PC394,0.0,-0.008299429919533
PC395,0.0,0.0169410326820516
PC396,0.0,-0.0091602373539473
PC397,0.0,-0.0042021851729035
PC398,0.0,0.0082204604601006
PC399,0.0,-0.003708999316308
PC400,0.0,0.0160346034893288
PC401,0.0,-0.0006734882288745
PC402,0.0,-0.0050717041897676
PC403,0.0,0.0130065920113876
PC404,0.0,0.0170047218994428
PC405,0.0,-0.0101015960483065
PC406,0.0,0.0320782702925989
PC407,0.0,-0.0089455659135389
PC408,0.0,-0.0140245451869308
PC409,0.0,-0.0217754960219197
PC410,0.0,-0.0096095943649179
PC411,0.0,-0.0064752403946386
PC412,0.0,-0.002245189716884
PC413,0.0,-0.0147982815976282
PC414,0.0,-0.0058756658733266
PC415,0.0,0.0126631199434939
PC416,0.0,0.0098636952862741
PC417,0.0,0.0037248743460078
PC418,0.0,0.0011113169330266
PC419,0.096868903680667,0.0101631279797945
PC420,0.0,0.0022549429469517
PC421,0.0,0.0013525091893965
PC422,0.0976140009997348,0.0139125051682564
PC423,0.0,-0.0172274025904873
PC424,0.0,0.0002414856890196
PC425,0.0,-0.0005338568976082
PC426,0.0,0.0121332855814898
PC427,0.0,0.0003006010042426
PC428,0.0,-0.0015111513287296
PC429,0.0,0.0048429799148802
PC430,0.0,-0.0023523260262083
PC431,0.0,-0.0047084825656027
PC432,0.0,-0.0015347716605478
PC433,0.0,0.0116846009582316
PC434,0.0,-0.0149494215532733
PC435,0.0,-0.0008138034815898
PC436,0.0,-0.0051225343215396
PC437,0.0,-0.0024045168598416
PC438,0.0,-0.0149048703001607
PC439,0.0,0.0089464409209632
PC440,0.0,0.0060927528955346
